央视,#genre#
CCTV1,http://111.225.115.13:808/tsfile/live/0001_1.m3u8
CCTV2,http://111.225.115.13:808/tsfile/live/0002_1.m3u8
CCTV3,http://111.225.115.13:808/tsfile/live/0003_1.m3u8
CCTV4,http://111.225.115.13:808/tsfile/live/0004_1.m3u8
CCTV5,http://111.225.115.13:808/tsfile/live/0005_1.m3u8
CCTV6,http://111.225.115.13:808/tsfile/live/0006_1.m3u8
CCTV7,http://111.225.115.13:808/tsfile/live/0007_1.m3u8
CCTV8,http://111.225.115.13:808/tsfile/live/0008_1.m3u8
CCTV9,http://111.225.115.13:808/tsfile/live/0009_1.m3u8
CCTV10,http://111.225.115.13:808/tsfile/live/0010_1.m3u8
CCTV11,http://111.225.115.13:808/tsfile/live/0011_1.m3u8
CCTV12,http://111.225.115.13:808/tsfile/live/0012_1.m3u8
CCTV13,http://111.225.115.13:808/tsfile/live/0013_1.m3u8
CCTV14,http://111.225.115.13:808/tsfile/live/0014_1.m3u8
CCTV15,http://111.225.115.13:808/tsfile/live/0015_1.m3u8
CCTV16,http://111.225.115.13:808/tsfile/live/0016_1.m3u8
CCTV17,http://111.225.115.13:808/tsfile/live/0017_1.m3u8
CCTV5+,http://111.225.115.13:808/tsfile/live/0018_1.m3u8CCTV5,http://111.225.115.13:808/tsfile/live/0018_1.m3u8
CETV2,http://111.225.115.13:808/tsfile/live/1029_1.m3u8《中国电视二套》，http：//111.225.115.13:808/tsfile/live/1029_1.m3u8
CETV4,http://111.225.115.13:808/tsfile/live/1030_1.m3u8视频地址：http：//111.225.115.13:808/tsfile/live/1030_1.m3u8
CCTV第一剧场,http://111.225.115.13:808/tsfile/live/1033_1.m3u8
CCTV风云剧场,http://111.225.115.13:808/tsfile/live/1034_1.m3u8
CCTV怀旧剧场,http://111.225.115.13:808/tsfile/live/1035_1.m3u8
CCTV风云音乐,http://111.225.115.13:808/tsfile/live/1036_1.m3u8
CCTV风云足球,http://111.225.115.13:808/tsfile/live/1037_1.m3u8
CCTV1,http://121.24.99.55:8090/hls/9/index.m3u8
CCTV2,http://121.24.99.55:8090/hls/10/index.m3u8
CCTV3,http://121.24.99.55:8090/hls/11/index.m3u8
CCTV4,http://121.24.99.55:8090/hls/12/index.m3u8
CCTV5,http://121.24.99.55:8090/hls/13/index.m3u8
CCTV6,http://121.24.99.55:8090/hls/14/index.m3u8
CCTV17,http://121.24.99.55:8090/hls/15/index.m3u8
CCTV8,http://121.24.99.55:8090/hls/16/index.m3u8
CCTV9,http://121.24.99.55:8090/hls/17/index.m3u8
CCTV10,http://121.24.99.55:8090/hls/18/index.m3u8
CCTV11,http://121.24.99.55:8090/hls/19/index.m3u8
CCTV12,http://121.24.99.55:8090/hls/20/index.m3u8
